10
1 1 2.0801952044192651e-001
1 2 2.1331928520483057e-001
1 3 4.0083308153263653e-001
1 4 9.2898823531152741e-001
1 5 4.7492328918134513e-001
1 6 2.8226980979851490e-001
1 7 1.8242082752161073e-001
1 8 6.0639600345029976e-001
1 9 6.0027688212308139e-001
1 10 1.5019379973049518e-001
2 1 9.9433172683000803e-001
2 2 4.7008563205148607e-001
2 3 8.2087092589715949e-001
2 4 7.1957471058072875e-001
2 5 5.5054484949149085e-001
2 6 9.9613864482699532e-001
2 7 3.9557610122070530e-001
2 8 6.7125952597503993e-002
2 9 4.1870810528384739e-001
2 10 2.0300013035284203e-001
3 1 4.1367792347620302e-001
3 2 5.2458582130695508e-001
3 3 9.8258867373505909e-001
3 4 3.4871422987374484e-001
3 5 9.6450648113428761e-001
3 6 1.8406502503728675e-002
3 7 7.0163629340906242e-001
3 8 2.9558359536917983e-001
3 9 8.5268365857577499e-001
3 10 5.3170556883921027e-001
4 1 9.2256248155977327e-001
4 2 7.3793097687726572e-001
4 3 3.5246020960074892e-001
4 4 2.4887709653461590e-001
4 5 1.6809608733636255e-001
4 6 8.2412410811369852e-001
4 7 3.8728880182663949e-001
4 8 3.1863370899672921e-001
4 9 4.0995956078554174e-001
4 10 6.4281830573151666e-001
5 1 1.8352645468489812e-001
5 2 4.4226643063759785e-001
5 3 7.8890413163773654e-002
5 4 6.6708708871103051e-001
5 5 5.3994391953115262e-001
5 6 2.1046947152633352e-001
5 7 8.1254002536083458e-001
5 8 1.6123801700237744e-001
5 9 2.0005507079511367e-001
5 10 3.9023524916147390e-001
6 1 6.9664564177898902e-001
6 2 9.7104143458674741e-001
6 3 1.7410065077612477e-001
6 4 6.3494671720991369e-001
6 5 7.3345679813252063e-001
6 6 3.3441931136515551e-001
6 7 9.8306953526942642e-001
6 8 1.2178172218356494e-001
6 9 2.3603231714986819e-001
6 10 8.7989281081722204e-001
7 1 7.6924387993019916e-001
7 2 5.0769031627518513e-001
7 3 7.0006243710606292e-002
7 4 3.6907765104155466e-001
7 5 7.4936942361964987e-001
7 6 7.4452014011438605e-001
7 7 4.2518332353288130e-001
7 8 7.3464041903993749e-001
7 9 2.4445105376739878e-001
7 10 9.7473861875317624e-001
8 1 9.3383020916171644e-001
8 2 9.3200887377807629e-001
8 3 5.5968844192141531e-001
8 4 1.1403911342145868e-001
8 5 4.5030162804188656e-001
8 6 3.3429811704645718e-001
8 7 1.0333171633019467e-001
8 8 6.6732524935764204e-001
8 9 9.1546767597392797e-001
8 10 2.7188217609551080e-001
9 1 5.7591559403968873e-001
9 2 4.3971019925760069e-001
9 3 7.5454018349643248e-001
9 4 8.5750503757623553e-001
9 5 2.7013912565527004e-001
9 6 1.9411444720275534e-001
9 7 6.0154993425735859e-001
9 8 8.1396691164703139e-001
9 9 2.4753149804836638e-001
9 10 1.0610052416215913e-001
10 1 6.1577106761568468e-001
10 2 6.0842996561157014e-001
10 3 4.9397658240398551e-001
10 4 8.5425336810293895e-001
10 5 2.9568891752911264e-001
10 6 5.6199048300486021e-001
10 7 4.4602265615335396e-001
10 8 1.0149129566131354e-001
10 9 8.7537391652908225e-001
10 10 3.5234374550141823e-001
